aprobacion_presidencial,tendencia,word,n
Desaprueba,Ninguno / Independiente,meses,3.89262
Desaprueba,Centro Derecha / Derecha,voto,3.882
Desaprueba,Centro Izquierda / Izquierda,bajos,3.87952
Desaprueba,Ninguno / Independiente,conflictos,3.87919
Desaprueba,Centro Izquierda / Izquierda,plata,3.87547
Desaprueba,Centro Izquierda / Izquierda,eleccion,3.84572
Desaprueba,Ninguno / Independiente,alzas,3.81414
Desaprueba,Ninguno / Independiente,ladron,3.79194
Desaprueba,Ninguno / Independiente,preocupa,3.79049
Desaprueba,Centro Izquierda / Izquierda,ido,3.79028
Desaprueba,Centro Izquierda / Izquierda,preocupado,3.78397
Desaprueba,Centro,proyecto,3.74506
Desaprueba,Ninguno / Independiente,gratuidad,3.73681
Desaprueba,Centro,ricos,3.72836
Desaprueba,Ninguno / Independiente,imagino,3.69549
Desaprueba,Centro Izquierda / Izquierda,sistema,3.69423
Desaprueba,Centro Izquierda / Izquierda,cabo,3.67945
Desaprueba,Ninguno / Independiente,ningun,3.66953
Desaprueba,Centro Izquierda / Izquierda,debiera,3.66103
Desaprueba,Centro Izquierda / Izquierda,pesos,3.65839
Desaprueba,Ninguno / Independiente,mira,3.6521
Desaprueba,Ninguno / Independiente,beneficios,3.65163
Desaprueba,Centro,personas,3.65112
Desaprueba,Centro Izquierda / Izquierda,pobres,3.64827
Desaprueba,Ninguno / Independiente,echo,3.6457
Desaprueba,Ninguno / Independiente,caso,3.62498
Desaprueba,Centro Derecha / Derecha,veo,3.6188
Desaprueba,Ninguno / Independiente,demoran,3.6149
Desaprueba,Centro Izquierda / Izquierda,afp,3.60762
Desaprueba,Centro Derecha / Derecha,gestion,3.59804
Desaprueba,Centro Izquierda / Izquierda,agenda,3.59734
Desaprueba,Centro Izquierda / Izquierda,mentira,3.59608
Desaprueba,Centro,niños,3.59207
Desaprueba,Centro,seguir,3.57479
Desaprueba,Centro,sueldos,3.56262
Desaprueba,Centro Izquierda / Izquierda,congreso,3.55106
Desaprueba,Ninguno / Independiente,hombre,3.54863
Desaprueba,Ninguno / Independiente,afp,3.53784
Desaprueba,Ninguno / Independiente,identidad,3.50985
Desaprueba,Centro Derecha / Derecha,presidente,3.48903
Desaprueba,Centro Izquierda / Izquierda,dichos,3.48781
Desaprueba,Centro Izquierda / Izquierda,sector,3.48646
Desaprueba,Centro Izquierda / Izquierda,importantes,3.47956
Desaprueba,Centro,empresariado,3.47459
Desaprueba,Centro Izquierda / Izquierda,interes,3.44153
Desaprueba,Centro,problema,3.44002
Desaprueba,Centro Izquierda / Izquierda,impuestos,3.43035
Desaprueba,Centro Izquierda / Izquierda,sentido,3.42289
Desaprueba,Centro Izquierda / Izquierda,favorecen,3.42051
Desaprueba,Centro Izquierda / Izquierda,oportunidades,3.41423
Desaprueba,Centro Izquierda / Izquierda,maneja,3.40413
Desaprueba,Ninguno / Independiente,màs,3.3677
Desaprueba,Centro Izquierda / Izquierda,país,3.36336
Desaprueba,Ninguno / Independiente,jubilados,3.34208
Desaprueba,Centro Izquierda / Izquierda,ambiental,3.3416
Desaprueba,Centro Izquierda / Izquierda,siguen,3.32986
Desaprueba,Ninguno / Independiente,soquimic,3.32054
Desaprueba,Centro Izquierda / Izquierda,99,3.31214
Desaprueba,Ninguno / Independiente,iguales,3.29294
Desaprueba,Centro Izquierda / Izquierda,bachelet,3.28332
Desaprueba,Centro Izquierda / Izquierda,trabajadora,3.27486
Desaprueba,Centro Izquierda / Izquierda,sale,3.26757
Desaprueba,Ninguno / Independiente,moral,3.2636
Desaprueba,Centro Derecha / Derecha,siguen,3.26308
Desaprueba,Centro Izquierda / Izquierda,atencion,3.25915
Desaprueba,Ninguno / Independiente,arreglar,3.25688
Desaprueba,Ninguno / Independiente,dinero,3.25688
Desaprueba,Centro Izquierda / Izquierda,combustibles,3.25028
Desaprueba,Ninguno / Independiente,campaña,3.2392
Desaprueba,Centro Izquierda / Izquierda,casa,3.22807
Desaprueba,Ninguno / Independiente,justos,3.22798
Desaprueba,Centro Izquierda / Izquierda,asunto,3.22259
Desaprueba,Centro Derecha / Derecha,iba,3.22019
Desaprueba,Ninguno / Independiente,dando,3.21805
Desaprueba,Centro,director,3.19708
Desaprueba,Centro,puestos,3.19708
Desaprueba,Ninguno / Independiente,pasando,3.18017
Desaprueba,Centro Derecha / Derecha,quintero,3.16333
Desaprueba,Ninguno / Independiente,sentido,3.15138
Desaprueba,Centro,zona,3.13963
Desaprueba,Ninguno / Independiente,posibilidad,3.12279
Desaprueba,Centro Izquierda / Izquierda,populista,3.1169
Desaprueba,Centro,1er,3.10602
Desaprueba,Centro,bodas,3.10602
Desaprueba,Centro,bono,3.10602
Desaprueba,Centro,cambiaron,3.10602
Desaprueba,Centro,chica,3.10602
Desaprueba,Centro,letra,3.10602
Desaprueba,Centro,oro,3.10602
Desaprueba,Centro Izquierda / Izquierda,juvenil,3.10069
Desaprueba,Ninguno / Independiente,tira,3.06491
Desaprueba,Centro Izquierda / Izquierda,hora,3.04502
Desaprueba,Ninguno / Independiente,pesima,3.03759
Desaprueba,Ninguno / Independiente,situacion,3.03121
Desaprueba,Centro Derecha / Derecha,manejo,3.03038
Desaprueba,Centro,alcanza,3.02911
Desaprueba,Centro Derecha / Derecha,alomejor,3.02058
Desaprueba,Centro Derecha / Derecha,caballero,3.02058
Desaprueba,Centro Derecha / Derecha,tenia,3.02058
Desaprueba,Ninguno / Independiente,suledos,3.01604
Desaprueba,Centro Izquierda / Izquierda,semana,3.00576
Desaprueba,Centro Izquierda / Izquierda,actualidad,3.00429
Desaprueba,Centro Izquierda / Izquierda,gustado,3.00154
Desaprueba,Centro Izquierda / Izquierda,cumplio,2.9962
Desaprueba,Ninguno / Independiente,aspecto,2.99073
Desaprueba,Ninguno / Independiente,aprobando,2.98471
Desaprueba,Centro Derecha / Derecha,puras,2.98214
Desaprueba,Ninguno / Independiente,atencion,2.97242
Desaprueba,Ninguno / Independiente,despiden,2.9678
Desaprueba,Ninguno / Independiente,mejores,2.9668
Desaprueba,Centro Izquierda / Izquierda,personal,2.95891
Desaprueba,Centro Izquierda / Izquierda,beneficio,2.9536
Desaprueba,Ninguno / Independiente,tributaria,2.95074
Desaprueba,Centro Izquierda / Izquierda,joven,2.94862
Desaprueba,Ninguno / Independiente,hablar,2.94297
Desaprueba,Ninguno / Independiente,mentira,2.932
Desaprueba,Centro,año,2.93074
Desaprueba,Ninguno / Independiente,metido,2.92928
Desaprueba,Ninguno / Independiente,enfoca,2.90581
Desaprueba,Ninguno / Independiente,empresario,2.90181
Desaprueba,Ninguno / Independiente,problematicas,2.90181
Desaprueba,Ninguno / Independiente,salario,2.90085
Desaprueba,Centro Izquierda / Izquierda,programa,2.88865
Desaprueba,Centro,presidente,2.88762
Desaprueba,Ninguno / Independiente,arreglan,2.88124
Desaprueba,Ninguno / Independiente,avansa,2.87942
Desaprueba,Ninguno / Independiente,estudiantes,2.87817
Desaprueba,Centro,problemas,2.87566
Desaprueba,Ninguno / Independiente,sube,2.8755
Desaprueba,Centro Izquierda / Izquierda,vivir,2.87379
Desaprueba,Ninguno / Independiente,crecimiento,2.86541
Desaprueba,Ninguno / Independiente,tomado,2.86186
Desaprueba,Ninguno / Independiente,vivir,2.85894
Desaprueba,Centro Izquierda / Izquierda,grupos,2.85772
Desaprueba,Centro,cerrando,2.85527
Desaprueba,Ninguno / Independiente,ofrecio,2.85444
Desaprueba,Centro Izquierda / Izquierda,cero,2.84999
Desaprueba,Centro Izquierda / Izquierda,ideas,2.83663
Desaprueba,Ninguno / Independiente,notado,2.83118
Desaprueba,Ninguno / Independiente,hijo,2.82365
Desaprueba,Ninguno / Independiente,intereses,2.81092
Desaprueba,Centro Izquierda / Izquierda,cultura,2.80922
Desaprueba,Ninguno / Independiente,justicia,2.80315
Desaprueba,Centro Izquierda / Izquierda,privatizacion,2.80036
Desaprueba,Ninguno / Independiente,combustibles,2.79582
Desaprueba,Ninguno / Independiente,noticias,2.79524
Desaprueba,Ninguno / Independiente,despidos,2.79264
Desaprueba,Centro,principal,2.78806
Desaprueba,Centro Izquierda / Izquierda,dinero,2.7869
Desaprueba,Centro,posterga,2.7832
Desaprueba,Centro Izquierda / Izquierda,calidad,2.78147
Desaprueba,Centro Izquierda / Izquierda,consecuente,2.77875
Desaprueba,Centro,reformas,2.76712
Desaprueba,Ninguno / Independiente,supuestamente,2.76539
Desaprueba,Ninguno / Independiente,aumento,2.76483
Desaprueba,Centro Izquierda / Izquierda,sociedad,2.76311
Desaprueba,Ninguno / Independiente,entrar,2.76214
Desaprueba,Centro Izquierda / Izquierda,prioridades,2.76065
Desaprueba,Ninguno / Independiente,problema,2.75084
Desaprueba,Centro Izquierda / Izquierda,corriente,2.75004
Desaprueba,Centro Izquierda / Izquierda,importancia,2.74137
Desaprueba,Centro Izquierda / Izquierda,prioridad,2.73702
Desaprueba,Ninguno / Independiente,interes,2.73287
Desaprueba,Centro Izquierda / Izquierda,legislativa,2.7322
Desaprueba,Ninguno / Independiente,proyecto,2.73193
Desaprueba,Centro,campaña,2.73019
Desaprueba,Centro Izquierda / Izquierda,solucionar,2.72852
Desaprueba,Centro Izquierda / Izquierda,jovenes,2.72198
Desaprueba,Ninguno / Independiente,realmente,2.7193
Desaprueba,Centro Izquierda / Izquierda,manejado,2.71572
Desaprueba,Ninguno / Independiente,ingresando,2.71138
Desaprueba,Centro Izquierda / Izquierda,suben,2.70973
Desaprueba,Centro,pasa,2.70614
Desaprueba,Centro,clase,2.70259
Desaprueba,Ninguno / Independiente,santiago,2.6838
Desaprueba,Centro Izquierda / Izquierda,dando,2.68022
Desaprueba,Centro Izquierda / Izquierda,refiero,2.67588
Desaprueba,Ninguno / Independiente,mirada,2.6705
Desaprueba,Centro Izquierda / Izquierda,ministerios,2.6696
Desaprueba,Centro,concuerdo,2.66918
Desaprueba,Ninguno / Independiente,transparencia,2.66435
Desaprueba,Centro Izquierda / Izquierda,abajo,2.66313
Desaprueba,Ninguno / Independiente,dejan,2.66026
Desaprueba,Ninguno / Independiente,alumnos,2.65639
Desaprueba,Centro Izquierda / Izquierda,base,2.6562
Desaprueba,Ninguno / Independiente,importante,2.65292
Desaprueba,Centro Izquierda / Izquierda,postura,2.65034
Desaprueba,Centro,cabo,2.64863
Desaprueba,Ninguno / Independiente,tirar,2.64849
Desaprueba,Centro Izquierda / Izquierda,curso,2.64804
Desaprueba,Ninguno / Independiente,vive,2.64523
Desaprueba,Centro Izquierda / Izquierda,ambientales,2.64365
Desaprueba,Ninguno / Independiente,alta,2.64329
Desaprueba,Ninguno / Independiente,importa,2.64037
Desaprueba,Ninguno / Independiente,po,2.63422
Desaprueba,Ninguno / Independiente,solucion,2.63297
Desaprueba,Ninguno / Independiente,alcanza,2.62913
Desaprueba,Centro Izquierda / Izquierda,estilo,2.62664
Desaprueba,Centro Izquierda / Izquierda,mercado,2.6162
Desaprueba,Ninguno / Independiente,estabilidad,2.61576
Desaprueba,Ninguno / Independiente,apoya,2.61399
Desaprueba,Centro Izquierda / Izquierda,linea,2.61393
Desaprueba,Ninguno / Independiente,cuesta,2.6128
Desaprueba,Ninguno / Independiente,vivienda,2.6128
Desaprueba,Centro Izquierda / Izquierda,político,2.61114
Desaprueba,Ninguno / Independiente,puerta,2.61049
Desaprueba,Centro Izquierda / Izquierda,real,2.60758
Desaprueba,Ninguno / Independiente,osea,2.60589
Desaprueba,Centro,interes,2.60518
Desaprueba,Ninguno / Independiente,necesita,2.60322
Desaprueba,Centro Izquierda / Izquierda,quitado,2.59769
Desaprueba,Centro Izquierda / Izquierda,resto,2.59757
Desaprueba,Centro Izquierda / Izquierda,mayoria,2.59438
Desaprueba,Centro Izquierda / Izquierda,nacionales,2.5844
Desaprueba,Ninguno / Independiente,negocios,2.58379
Desaprueba,Centro Izquierda / Izquierda,llevado,2.57396
Desaprueba,Centro Izquierda / Izquierda,agua,2.57025
Desaprueba,Centro Izquierda / Izquierda,sabido,2.56608
Desaprueba,Centro Izquierda / Izquierda,cae,2.56289
Desaprueba,Centro Izquierda / Izquierda,etc,2.56215
Desaprueba,Ninguno / Independiente,medidas,2.55851
Desaprueba,Centro Izquierda / Izquierda,mire,2.54878
Desaprueba,Ninguno / Independiente,principal,2.53694
Desaprueba,Centro Izquierda / Izquierda,corrupcion,2.53546
Desaprueba,Centro Izquierda / Izquierda,ningun,2.5347
Desaprueba,Centro Izquierda / Izquierda,mejorar,2.53462
Desaprueba,Centro Izquierda / Izquierda,sename,2.5327
Desaprueba,Centro Izquierda / Izquierda,publico,2.525
Desaprueba,Ninguno / Independiente,sobretodo,2.5205
Desaprueba,Centro Izquierda / Izquierda,apoyo,2.51852
Desaprueba,Ninguno / Independiente,sistema,2.51789
Desaprueba,Ninguno / Independiente,pasa,2.51317
Desaprueba,Centro Izquierda / Izquierda,libre,2.50876
Desaprueba,Ninguno / Independiente,jovenes,2.50166
Desaprueba,Ninguno / Independiente,derecho,2.49837
Desaprueba,Centro Derecha / Derecha,principios,2.49352
Desaprueba,Centro Izquierda / Izquierda,necesidades,2.49351
