aprobacion_presidencial,tendencia,word,n
Aprueba,Ninguno / Independiente,situacion,2.92548
Aprueba,Centro Derecha / Derecha,cumplido,2.91426
Aprueba,Centro,chile,2.91305
Aprueba,Ninguno / Independiente,salud,2.90841
Aprueba,Ninguno / Independiente,mapuche,2.90542
Aprueba,Ninguno / Independiente,razon,2.88024
Aprueba,Centro Derecha / Derecha,generar,2.86944
Aprueba,Ninguno / Independiente,presidenta,2.86091
Aprueba,Centro Derecha / Derecha,posicion,2.85866
Aprueba,Centro,ideas,2.85819
Aprueba,Centro Derecha / Derecha,tendencia,2.85143
Aprueba,Ninguno / Independiente,sebastian,2.84418
Aprueba,Ninguno / Independiente,confianza,2.82273
Aprueba,Ninguno / Independiente,alumnos,2.8098
Aprueba,Centro Derecha / Derecha,soluciones,2.80063
Aprueba,Ninguno / Independiente,mejorando,2.80059
Aprueba,Centro Izquierda / Izquierda,salud,2.78723
Aprueba,Ninguno / Independiente,cabeza,2.78358
Aprueba,Ninguno / Independiente,situaciones,2.76491
Aprueba,Centro Izquierda / Izquierda,media,2.76004
Aprueba,Centro Derecha / Derecha,pasa,2.75242
Aprueba,Centro Derecha / Derecha,habian,2.75026
Aprueba,Centro Derecha / Derecha,finanzas,2.74961
Aprueba,Ninguno / Independiente,hijos,2.74482
Aprueba,Ninguno / Independiente,asunto,2.73783
Aprueba,Ninguno / Independiente,sociedad,2.73207
Aprueba,Centro Derecha / Derecha,aspecto,2.73202
Aprueba,Centro Derecha / Derecha,asuntos,2.72291
Aprueba,Ninguno / Independiente,anteriores,2.70824
Aprueba,Centro Derecha / Derecha,situaciones,2.70635
Aprueba,Ninguno / Independiente,familia,2.70529
Aprueba,Centro Derecha / Derecha,notado,2.69858
Aprueba,Ninguno / Independiente,reformas,2.69294
Aprueba,Centro Derecha / Derecha,sename,2.69238
Aprueba,Centro Izquierda / Izquierda,problemas,2.68956
Aprueba,Ninguno / Independiente,dejo,2.67879
Aprueba,Centro,aprueba,2.67826
Aprueba,Centro Derecha / Derecha,sabria,2.67291
Aprueba,Ninguno / Independiente,salir,2.67099
Aprueba,Ninguno / Independiente,laborales,2.66459
Aprueba,Ninguno / Independiente,meses,2.65446
Aprueba,Ninguno / Independiente,decision,2.653
Aprueba,Centro,clase,2.65132
Aprueba,Centro,media,2.65132
Aprueba,Centro Derecha / Derecha,apoya,2.64044
Aprueba,Centro,comparacion,2.63959
Aprueba,Ninguno / Independiente,salió,2.63478
Aprueba,Centro Derecha / Derecha,araucania,2.63265
Aprueba,Ninguno / Independiente,cuerdo,2.63148
Aprueba,Ninguno / Independiente,cuestión,2.63148
Aprueba,Ninguno / Independiente,rico,2.63148
Aprueba,Ninguno / Independiente,componente,2.627
Aprueba,Centro Derecha / Derecha,cree,2.62599
Aprueba,Ninguno / Independiente,clase,2.62339
Aprueba,Centro Izquierda / Izquierda,años,2.61804
Aprueba,Centro Derecha / Derecha,digo,2.61594
Aprueba,Centro Derecha / Derecha,mira,2.61065
Aprueba,Ninguno / Independiente,ayudado,2.61035
Aprueba,Centro Derecha / Derecha,bono,2.60973
Aprueba,Centro Derecha / Derecha,escucha,2.59386
Aprueba,Centro Derecha / Derecha,reconoce,2.58966
Aprueba,Ninguno / Independiente,venezuela,2.58854
Aprueba,Centro Derecha / Derecha,pone,2.57217
Aprueba,Centro Izquierda / Izquierda,ve,2.56671
Aprueba,Centro Derecha / Derecha,estudiantes,2.56661
Aprueba,Centro Derecha / Derecha,seria,2.56247
Aprueba,Ninguno / Independiente,aprueba,2.55138
Aprueba,Centro Izquierda / Izquierda,cumplido,2.53838
Aprueba,Ninguno / Independiente,maneja,2.5347
Aprueba,Centro Derecha / Derecha,pobres,2.52962
Aprueba,Centro Derecha / Derecha,iguales,2.5205
Aprueba,Ninguno / Independiente,sobretodo,2.51952
Aprueba,Centro Derecha / Derecha,espera,2.51594
Aprueba,Centro Derecha / Derecha,corrupcion,2.51227
Aprueba,Centro Derecha / Derecha,contaminacion,2.51057
Aprueba,Centro Izquierda / Izquierda,laboral,2.5018
Aprueba,Centro Derecha / Derecha,pais,2.49765
Aprueba,Centro Derecha / Derecha,respeto,2.4921
Aprueba,Centro,cosa,2.47852
Aprueba,Centro Derecha / Derecha,avance,2.47804
Aprueba,Centro Derecha / Derecha,cara,2.4748
Aprueba,Centro Derecha / Derecha,llevando,2.45881
Aprueba,Centro Derecha / Derecha,mala,2.45758
Aprueba,Centro Derecha / Derecha,comunista,2.44908
Aprueba,Centro Derecha / Derecha,estancado,2.44529
Aprueba,Centro Derecha / Derecha,obviamente,2.43723
Aprueba,Centro Derecha / Derecha,facilidades,2.42372
Aprueba,Centro Derecha / Derecha,aprueba,2.42068
Aprueba,Ninguno / Independiente,relacion,2.41857
Aprueba,Centro Derecha / Derecha,hartos,2.41531
Aprueba,Centro Derecha / Derecha,correcto,2.41429
Aprueba,Centro Derecha / Derecha,credibilidad,2.41141
Aprueba,Centro Derecha / Derecha,area,2.40571
Aprueba,Ninguno / Independiente,conocimiento,2.40474
Aprueba,Ninguno / Independiente,desorden,2.40407
Aprueba,Centro Derecha / Derecha,manejado,2.4025
Aprueba,Ninguno / Independiente,acá,2.3935
Aprueba,Centro Derecha / Derecha,tomar,2.39101
Aprueba,Centro,qe,2.39056
Aprueba,Centro Derecha / Derecha,puesto,2.38578
Aprueba,Ninguno / Independiente,cargo,2.37652
Aprueba,Centro Derecha / Derecha,po,2.37616
Aprueba,Centro Derecha / Derecha,realizando,2.37559
Aprueba,Centro Derecha / Derecha,ambito,2.37514
Aprueba,Centro Derecha / Derecha,lento,2.37077
Aprueba,Centro Derecha / Derecha,ordenando,2.36703
Aprueba,Centro Izquierda / Izquierda,bachelet,2.36447
Aprueba,Centro,persona,2.35468
Aprueba,Centro Derecha / Derecha,implementando,2.35382
Aprueba,Centro Derecha / Derecha,enfocado,2.34476
Aprueba,Ninguno / Independiente,desempeño,2.3432
Aprueba,Centro Derecha / Derecha,puestos,2.34231
Aprueba,Centro Derecha / Derecha,mantenido,2.34217
Aprueba,Centro Derecha / Derecha,razones,2.33669
Aprueba,Ninguno / Independiente,soluciones,2.3288
Aprueba,Centro Derecha / Derecha,trabajador,2.32735
Aprueba,Centro Derecha / Derecha,gratuidad,2.31796
Aprueba,Centro Derecha / Derecha,interes,2.31547
Aprueba,Centro Derecha / Derecha,ingresos,2.31409
Aprueba,Centro Derecha / Derecha,necesita,2.31166
Aprueba,Ninguno / Independiente,considero,2.31149
Aprueba,Centro Derecha / Derecha,digamos,2.3102
Aprueba,Centro Derecha / Derecha,robos,2.30902
Aprueba,Centro Derecha / Derecha,jovenes,2.30831
Aprueba,Centro,leyes,2.30742
Aprueba,Centro Derecha / Derecha,genera,2.30599
Aprueba,Ninguno / Independiente,minuto,2.30063
Aprueba,Centro Derecha / Derecha,viene,2.30001
Aprueba,Centro Derecha / Derecha,ningun,2.29746
Aprueba,Centro Derecha / Derecha,fuente,2.29667
Aprueba,Centro Derecha / Derecha,notar,2.27281
Aprueba,Centro Derecha / Derecha,esfuerzo,2.26715
Aprueba,Centro Derecha / Derecha,dificil,2.2602
