zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro,35-54,Mujer,Desaprueba,ejecutando,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,empleo,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,entiende,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,escuchando,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,escuelita,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,estudios,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,europesos,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,expectativas,1.72542
Santiago,Centro,35-54,Mujer,Desaprueba,exteriores,1.01432
Santiago,Centro,35-54,Mujer,Desaprueba,falta,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,frente,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,genero,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,gestion,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,global,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,gobierno,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,grande,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,gusta,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,identidad,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,idonias,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,inmigracion,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,latinoamericanos,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,levvar,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,leyes,2.2862
Santiago,Centro,35-54,Mujer,Desaprueba,libre,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,limites,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,manos,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,meses,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,ministro,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,nota,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,pais,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,pereocupa,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,personas,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,pobreza,2.86852
Santiago,Centro,35-54,Mujer,Desaprueba,politica,1.72542
Santiago,Centro,35-54,Mujer,Desaprueba,poncho,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,pq,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,precsoiines,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,preocupa,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,principales,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,promesas,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,publica,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,puso,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,quedo,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,razones,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,realizando,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,relaciones,1.01432
Santiago,Centro,35-54,Mujer,Desaprueba,respalden,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,rural,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,salud,1.72542
Santiago,Centro,35-54,Mujer,Desaprueba,sebastian,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,sensantìa,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,sentido,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,serios,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,sociales,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,stres,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,suficiente,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,tenia,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,tiranioa,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,udi,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,viendo,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,vivo,1.72542
Santiago,Centro,35-54,Mujer,Desaprueba,zona,0.86271
Santiago,Centro,55 o+,Hombre,Aprueba,aquejan,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,arreglado,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,arreglar,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,cambio,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,ciudadano,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,comfiable,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,comun,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,curso,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,economia,5.74911
Santiago,Centro,55 o+,Hombre,Aprueba,forma,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,importante,1.55301
Santiago,Centro,55 o+,Hombre,Aprueba,jubilacion,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,manejo,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,quierre,1.3987
Santiago,Centro,55 o+,Hombre,Aprueba,seguridad,1.3987
Santiago,Centro,55 o+,Hombre,Desaprueba,1er,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,2019,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,50,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,8000,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,adulto,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,alcanza,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,año,2.93074
Santiago,Centro,55 o+,Hombre,Desaprueba,años,4.65903
Santiago,Centro,55 o+,Hombre,Desaprueba,anteriores,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,antiguedad,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,anuncio,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,anuncios,5.4637
Santiago,Centro,55 o+,Hombre,Desaprueba,araucania,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,aumentarle,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,beneficio,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,beneficios,1.55301
Santiago,Centro,55 o+,Hombre,Desaprueba,bodas,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,bono,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,cabo,1.37773
Santiago,Centro,55 o+,Hombre,Desaprueba,cambiaron,3.10602
Santiago,Centro,55 o+,Hombre,Desaprueba,capaz,1.17884
Santiago,Centro,55 o+,Hombre,Desaprueba,casado,1.55301
