aprobacion_presidencial,word,n
Desaprueba,retroceso,2.31342
Desaprueba,calle,2.30502
Desaprueba,valorica,2.29573
Desaprueba,culpa,2.29505
Desaprueba,teniamos,2.28924
Desaprueba,tratando,2.28645
Desaprueba,subsidios,2.28307
Desaprueba,seria,2.28206
Desaprueba,aumentar,2.27305
Desaprueba,votar,2.26786
Desaprueba,hijos,2.26734
Desaprueba,pensionado,2.26734
Desaprueba,altas,2.26345
Desaprueba,conveniencia,2.25984
Desaprueba,solución,2.25671
Desaprueba,puntos,2.25643
Desaprueba,adultos,2.25213
Desaprueba,llegan,2.25117
Desaprueba,profesionales,2.24875
Desaprueba,refiere,2.23925
Desaprueba,luz,2.2281
Desaprueba,bienestar,2.22715
Desaprueba,suponia,2.21927
Desaprueba,ofrece,2.21846
Desaprueba,acto,2.21183
Desaprueba,pucha,2.21116
Desaprueba,legislacion,2.21056
Desaprueba,ganan,2.21014
Desaprueba,hartas,2.2081
Desaprueba,carreras,2.20757
Desaprueba,principio,2.20346
Desaprueba,fiscalizacion,2.19817
Desaprueba,regiones,2.1981
Desaprueba,facilidades,2.19726
Desaprueba,comienzo,2.19371
Desaprueba,quitando,2.18929
Desaprueba,tapar,2.18882
Desaprueba,acciones,2.18654
Desaprueba,beca,2.17737
Desaprueba,desorden,2.16445
Desaprueba,favoritismo,2.15517
Desaprueba,universidad,2.15372
Desaprueba,antecedentes,2.1431
Desaprueba,estrato,2.13477
Desaprueba,ciudadana,2.12693
Desaprueba,salio,2.12474
Desaprueba,hospitales,2.12123
Desaprueba,payaso,2.12092
Desaprueba,vivimos,2.11896
Desaprueba,servicios,2.1184
Desaprueba,billete,2.11546
Desaprueba,grupo,2.1087
Desaprueba,monton,2.1058
Desaprueba,300,2.10455
Desaprueba,partio,2.1
Desaprueba,redes,2.09929
Desaprueba,escuchando,2.09811
Desaprueba,paso,2.09727
Desaprueba,ventas,2.09634
Desaprueba,obra,2.09585
Desaprueba,deberian,2.08944
Desaprueba,caras,2.0874
Desaprueba,rural,2.08391
Desaprueba,frente,2.07681
Desaprueba,partidaria,2.06797
Desaprueba,logrado,2.06609
Desaprueba,pequeños,2.06595
Desaprueba,lanzar,2.06571
Desaprueba,cara,2.06082
Desaprueba,sectores,2.05521
Desaprueba,basa,2.05236
Desaprueba,qu,2.04973
Desaprueba,ofrecido,2.03503
Desaprueba,darle,2.03412
Desaprueba,inversiones,2.03161
Desaprueba,desacuerdo,2.02554
Desaprueba,nacional,2.02309
Desaprueba,dejo,2.02191
Desaprueba,valorico,2.02106
Desaprueba,derechas,2.01822
Desaprueba,detienen,2.01822
Desaprueba,quedan,2.01822
Desaprueba,quitas,2.01822
Desaprueba,sueltos,2.01822
Desaprueba,subsidio,2.01699
Desaprueba,allende,2.01372
Desaprueba,elegidos,2.01303
Desaprueba,encuentran,2.012
Desaprueba,decirlo,2.01
Desaprueba,coalision,2.00244
Desaprueba,llevan,2.00107
Desaprueba,mente,1.9993
Desaprueba,continuacion,1.9951
Desaprueba,etica,1.99344
Desaprueba,consecuencia,1.988
Desaprueba,eeuu,1.988
Desaprueba,latinoamerica,1.988
Desaprueba,udi,1.98785
Desaprueba,re,1.98612
Desaprueba,vino,1.9825
Desaprueba,porcentaje,1.98118
Desaprueba,enfoque,1.97766
Desaprueba,termine,1.97695
Desaprueba,quedamos,1.97638
Desaprueba,liviano,1.97346
Desaprueba,entrada,1.957
Desaprueba,permite,1.957
Desaprueba,distribucion,1.95235
Desaprueba,falsas,1.94892
Desaprueba,cometido,1.94512
Desaprueba,termino,1.93595
Desaprueba,iniciativa,1.93029
Desaprueba,10,1.92835
Desaprueba,botaron,1.92835
Desaprueba,homosexuales,1.92835
Desaprueba,deja,1.9281
Desaprueba,favorecer,1.92311
Desaprueba,quitaron,1.92177
Desaprueba,oposicion,1.92047
Desaprueba,crisis,1.9089
Desaprueba,terrorista,1.89745
Desaprueba,piensan,1.89584
Desaprueba,contraria,1.8941
Desaprueba,sustancia,1.89373
Desaprueba,relaciones,1.89254
Desaprueba,entiendo,1.89013
Desaprueba,adultas,1.87838
Desaprueba,arriendo,1.87838
