aprobacion_presidencial,word,n
Aprueba,noce,1.54195
Aprueba,claras,1.53904
Aprueba,respetarlos,1.53516
Aprueba,conocimientos,1.53502
Aprueba,palabras,1.53502
Aprueba,pr3ocupacion,1.53502
Aprueba,puras,1.53502
Aprueba,saca,1.5336
Aprueba,ahhhh,1.52745
Aprueba,especial,1.52745
Aprueba,hummm,1.52745
Aprueba,inversión,1.52695
Aprueba,activo,1.5267
Aprueba,modificaciones,1.52653
Aprueba,privada,1.52548
Aprueba,sur,1.52401
Aprueba,faltaria,1.5194
Aprueba,gobernaría,1.5194
Aprueba,imposiciñon,1.5194
Aprueba,sencillo,1.5194
Aprueba,queria,1.51821
Aprueba,responsable,1.5169
Aprueba,solucion,1.51629
Aprueba,organizacion,1.51137
Aprueba,tirar,1.50774
Aprueba,deberia,1.5076
Aprueba,acercando,1.5074
Aprueba,acuerdop,1.5074
Aprueba,co9n,1.5074
Aprueba,credito,1.5074
Aprueba,pueblos,1.5074
Aprueba,referente,1.5074
Aprueba,sde,1.5074
Aprueba,pol,1.50415
Aprueba,actividad,1.50078
Aprueba,rojo,1.49908
Aprueba,concretas,1.49531
Aprueba,pese,1.49293
Aprueba,fondos,1.491
Aprueba,ofendiendo,1.49072
Aprueba,principales,1.48636
Aprueba,hospital,1.4839
Aprueba,instalando,1.4839
Aprueba,llego,1.4839
Aprueba,opino,1.4839
Aprueba,ventiladores,1.4839
Aprueba,aportado,1.47537
Aprueba,funciona,1.47479
Aprueba,generacion,1.46988
Aprueba,entregaron,1.46914
Aprueba,clara,1.46786
Aprueba,transparencia,1.46741
Aprueba,incremento,1.46493
Aprueba,drastica,1.46464
Aprueba,instituciones,1.46464
Aprueba,respaldo,1.46464
Aprueba,cristianos,1.46121
Aprueba,sale,1.46105
Aprueba,empuje,1.45899
Aprueba,talleres,1.45899
Aprueba,frente,1.45855
Aprueba,controles,1.4555
Aprueba,identidad,1.44965
Aprueba,macro,1.4484
Aprueba,competente,1.44669
Aprueba,coas,1.44454
Aprueba,reactivado,1.44324
Aprueba,aumentando,1.43935
Aprueba,docente,1.43882
Aprueba,inclucion,1.43882
Aprueba,motivos,1.43882
Aprueba,prefiero,1.43882
Aprueba,socilaes,1.43882
Aprueba,coherencia,1.43877
Aprueba,encontró,1.43803
Aprueba,constante,1.43326
Aprueba,diferencia,1.43326
Aprueba,propone,1.42835
Aprueba,invierten,1.42806
Aprueba,leido,1.4271
Aprueba,segùn,1.4271
Aprueba,tele,1.4271
Aprueba,proceso,1.42616
Aprueba,demostrando,1.42209
Aprueba,ejecutando,1.42209
Aprueba,esperemos,1.42209
Aprueba,inconclusa,1.42209
Aprueba,molesta,1.42209
Aprueba,pase,1.42209
Aprueba,quede,1.42209
Aprueba,haciendolo,1.42021
Aprueba,variado,1.42021
Aprueba,loco,1.41812
Aprueba,verlo,1.41812
Aprueba,busca,1.41417
Aprueba,personalmente,1.4129
Aprueba,pq,1.40707
Aprueba,devuelvan,1.40166
Aprueba,legalice,1.40166
Aprueba,visas,1.40166
Aprueba,consultorio,1.40101
Aprueba,demas,1.40101
Aprueba,requiere,1.39966
Aprueba,quierre,1.3987
Aprueba,creando,1.39802
Aprueba,administre,1.39179
Aprueba,estariamos,1.39179
Aprueba,emprender,1.39067
Aprueba,fomenta,1.38691
Aprueba,estudiar,1.38575
Aprueba,parecer,1.38575
Aprueba,condicionales,1.37098
Aprueba,hbian,1.37098
Aprueba,quedar,1.37098
Aprueba,tencgo,1.37098
Aprueba,familias,1.36817
Aprueba,fortaleciendo,1.36817
Aprueba,rural,1.36817
Aprueba,turistico,1.36817
Aprueba,urbano,1.36817
Aprueba,aguas,1.36769
Aprueba,regale,1.36769
Aprueba,tierras,1.36769
Aprueba,abordado,1.36658
Aprueba,izquierdista,1.36278
Aprueba,honesto,1.36175
Aprueba,informa,1.35093
Aprueba,esprisito,1.34527
Aprueba,documento,1.33726
Aprueba,estatus,1.33726
Aprueba,facilidad,1.33726
Aprueba,surgir,1.33726
Aprueba,ultimas,1.33726
Aprueba,momentos,1.33581
Aprueba,desconformidad,1.3348
Aprueba,tewngo,1.3348
Aprueba,llavando,1.33397
Aprueba,rie,1.33397
Aprueba,directo,1.32632
Aprueba,preocuopa,1.32273
Aprueba,mentalidad,1.3214
Aprueba,inflacion,1.3206
Aprueba,marchando,1.3206
Aprueba,puedan,1.3206
Aprueba,anbiente,1.31789
Aprueba,prente,1.31789
Aprueba,tods,1.31789
Aprueba,camara,1.31574
Aprueba,diputados,1.31574
Aprueba,normas,1.31574
Aprueba,normativa,1.31574
Aprueba,ponerle,1.31574
Aprueba,qie,1.31574
Aprueba,sinete,1.31574
Aprueba,toman,1.31574
Aprueba,alargo,1.3135
